I20260406 22:06:14.468953  9696 incremental_pipeline.cc:265] Loading database
I20260406 22:06:14.471135  9696 database_cache.cc:72] Loading rigs...
I20260406 22:06:14.471337  9696 database_cache.cc:82]  1 in 0.000s
I20260406 22:06:14.471397  9696 database_cache.cc:90] Loading cameras...
I20260406 22:06:14.471499  9696 database_cache.cc:108]  1 in 0.000s
I20260406 22:06:14.471546  9696 database_cache.cc:116] Loading frames...
I20260406 22:06:14.472004  9696 database_cache.cc:126]  48 in 0.000s
I20260406 22:06:14.472056  9696 database_cache.cc:134] Loading matches...
I20260406 22:06:14.485557  9696 database_cache.cc:139]  882 in 0.014s
I20260406 22:06:14.485665  9696 database_cache.cc:147] Loading images...
I20260406 22:06:14.491661  9696 database_cache.cc:241]  48 in 0.006s (connected 48, loaded 48)
I20260406 22:06:14.491789  9696 database_cache.cc:255] Loading pose priors...
I20260406 22:06:14.491870  9696 database_cache.cc:263]  0 in 0.000s
I20260406 22:06:14.491916  9696 database_cache.cc:271] Building correspondence graph...
I20260406 22:06:14.563359  9696 database_cache.cc:300]  in 0.071s (ignored 0)
I20260406 22:06:14.563520  9696 timer.cc:90] Elapsed time: 0.002 [minutes]
I20260406 22:06:14.567302  9696 incremental_pipeline.cc:377] Finding good initial image pair
I20260406 22:06:18.045883  9696 incremental_pipeline.cc:381] => No good initial image pair found.
I20260406 22:06:18.046026  9696 incremental_pipeline.cc:684] Discarding reconstruction due to no initial pair
I20260406 22:06:18.047160  9696 incremental_pipeline.cc:341] => Relaxing the initialization constraints.
I20260406 22:06:18.049425  9696 incremental_pipeline.cc:377] Finding good initial image pair
I20260406 22:06:20.792943  9696 incremental_pipeline.cc:381] => No good initial image pair found.
I20260406 22:06:20.793052  9696 incremental_pipeline.cc:684] Discarding reconstruction due to no initial pair
I20260406 22:06:20.794163  9696 incremental_pipeline.cc:354] => Relaxing the initialization constraints.
I20260406 22:06:20.796323  9696 incremental_pipeline.cc:377] Finding good initial image pair
I20260406 22:06:22.997919  9696 incremental_pipeline.cc:381] => No good initial image pair found.
I20260406 22:06:22.998000  9696 incremental_pipeline.cc:684] Discarding reconstruction due to no initial pair
I20260406 22:06:22.999022  9696 incremental_pipeline.cc:341] => Relaxing the initialization constraints.
I20260406 22:06:23.000986  9696 incremental_pipeline.cc:377] Finding good initial image pair
I20260406 22:06:23.817948  9696 incremental_pipeline.cc:401] Registering initial image pair #33 and #25
I20260406 22:06:23.818822  9696 incremental_pipeline.cc:675] Discarding reconstruction due to bad initial pair
I20260406 22:06:23.821419  9696 incremental_pipeline.cc:377] Finding good initial image pair
I20260406 22:06:23.835769  9696 incremental_pipeline.cc:401] Registering initial image pair #33 and #5
I20260406 22:06:23.836710  9696 incremental_pipeline.cc:419] Global bundle adjustment
I20260406 22:06:23.924409  9696 incremental_pipeline.cc:524] Registering image #28 (num_reg_frames=2)
I20260406 22:06:23.924480  9696 incremental_pipeline.cc:527] => Image sees 31 / 808 points
W20260406 22:06:23.936009  9696 levenberg_marquardt_strategy.cc:123] Linear solver failure. Failed to compute a step: Eigen failure. Unable to perform dense Cholesky factorization.
W20260406 22:06:23.936816  9696 levenberg_marquardt_strategy.cc:123] Linear solver failure. Failed to compute a step: Eigen failure. Unable to perform dense Cholesky factorization.
W20260406 22:06:23.936983  9696 levenberg_marquardt_strategy.cc:123] Linear solver failure. Failed to compute a step: Eigen failure. Unable to perform dense Cholesky factorization.
W20260406 22:06:23.940636  9696 levenberg_marquardt_strategy.cc:123] Linear solver failure. Failed to compute a step: Eigen failure. Unable to perform dense Cholesky factorization.
W20260406 22:06:23.948895  9696 levenberg_marquardt_strategy.cc:123] Linear solver failure. Failed to compute a step: Eigen failure. Unable to perform dense Cholesky factorization.
